id,division_name,district_name,name_of_newly_formed_cooperative_societies,block_name,total_number_of_members_enrolled,total_number_of_male_members_enrolled,total_number_of_female_members_enrolled,date_of_registration,year,whether_Inland_or_Marine_FCS
268,Munger,Khagaria,"Gogari, Fishermen Cooperative Society",Gogari,8702,5918,2784,29.01.2011,2011,Inland
269,Munger,Khagaria,"Alauli, Fishermen Cooperative Society",Alauli,3840,2504,1336,29.01.2011,2011,Inland
270,Munger,Jamui,LAXMIPUR FISHERY COOPERATIVE SOCIETY LIMITED,LAXMIPUR,53,53,0,02.08.2010,2010,Not Specified
271,Munger,Jamui,ALIGANJ FISHERY SOCIETY LIMITED,ISLAMNAGAR ALIGANJ,0,0,0,09.01.2021,2021,Not Specified
272,Munger,Jamui,JAMUI FISHERY SOCIETY LIMITED,JAMUI,98,81,17,14.07.2011,2011,Not Specified
273,Munger,Jamui,CHAKAI FISHERY SOCIETY LIMITED,CHAKAI,0,0,0,01.04.2011,2011,Not Specified
274,Munger,Jamui,GIDHAUR FISHERY SOCIETY LIMITED,GIDHOR,25,22,3,18.11.2021,2021,Not Specified
275,Munger,Jamui,KHAIRA FISHERY SOCIETY LIMITED,KHAIRA,0,0,0,14.07.2011,2011,Not Specified
276,Munger,Jamui,SONO FISHERY SOCIETY LIMITED,SONO,44,38,6,18.07.1988,1988,Not Specified
277,Munger,Jamui,"BARHAT, FISHERIES COOPERATIVE SOCIETY",BARHAT,-,Not Available,,Not Available,2024,Not Specified
278,Munger,Jamui,JHAJHA FISHERY SOCIETY LIMITED,JHAJHA,32,25,7,15.07.2011,2011,Not Specified
279,Munger,Begusarai,ALIGANJ FISHERY SOCIETY LIMITED,Samho Akha Kurha,83,55,28,30.12.2010,2010,Inland
280,Munger,Begusarai,JAMUI FISHERY SOCIETY LIMITED,Gadhpura,111,75,36,24.09.2015,2015,Inland
281,Munger,Begusarai,CHAKAI FISHERY SOCIETY LIMITED,Barauni,844,534,310,30.12.2010,2010,Inland
282,Munger,Begusarai,GIDHAUR FISHERY SOCIETY LIMITED,Teghra,1888,1285,603,24.01.1970,1970,Inland
283,Munger,Begusarai,KHAIRA FISHERY SOCIETY LIMITED,Bachhwara,1135,731,404,30.10.2010,2010,Inland
284,Munger,Begusarai,SONO FISHERY SOCIETY LIMITED,Chhaurahi,559,345,214,30.12.2010,2010,Inland
285,Munger,Begusarai,JHAJHA FISHERY SOCIETY LIMITED,Matihani,606,401,205,13.08.1965,1965,Inland
286,Munger,Begusarai,Sahebpur Kamal Block Matasyajivi Sahyog Samiti Limited,Sahebpur Kamal,2996,1871,1125,20.09.2008,2008,Inland
287,Munger,Begusarai,Nawkothi Matasyajivi Sahyog Samiti Limited,Nawkothi,852,540,312,06.06.1997,1997,Inland
288,Munger,Begusarai,Dandari Block Matsyajivi Sahyog Samiti Ltd,Dandari,2580,1745,835,31.03.2010,2010,Inland
289,Munger,Begusarai,Cheriya Bariyarpur Block Matasyajivi Sahyog Samiti Limited,Cheria Bariarpur,1270,930,340,30.12.2010,2010,Inland
290,Munger,Begusarai,Begusarai Matasyajivi Sahyog Samiti Limited,Begusarai,3975,2529,1446,30.12.2010,2010,Inland
291,Munger,Begusarai,Birpur Block Matasyajivi Sahyog Samiti Limited,Birpur,2298,1651,647,30.12.2010,2010,Inland
292,Munger,Begusarai,Bhagwanpur Block Matsyajivi Sahyog Samiti Ltd,Bhagwanpur,2100,1636,464,30.12.2010,2010,Inland
293,Munger,Begusarai,Bakhri Block Matsyajivi Sahyog Samiti Ltd,Bakhri,1735,1095,640,14.07.1956,1956,Inland
294,Munger,Begusarai,Mansurchak Block Matsyajivi Sahyog Samiti Ltd,Mansurchak,191,121,70,16.02.2008,2008,Inland
295,Munger,Begusarai,Khodawandpur Matasyajivi Sahyog Samiti Limited,Khodawandpur,906,605,301,30.12.2010,2010,Inland
296,Munger,Begusarai,Baliya Block Matasyajivi Sahyog Samiti Limited,Ballia,405,331,74,01.01.1970,1970,Inland
297,Patna,Kaimur(Bhabua),"Kudra, Fishermen Cooperative Society",Kudra,236,170,66,14.05.2011,2011,Inland
298,Patna,Kaimur(Bhabua),"Chainpur, Fishermen Cooperative Society",Chainpur,251,192,59,07.06.2011,2011,Inland
299,Patna,Kaimur(Bhabua),"Rampur, Fishermen Cooperative Society",Rampur,138,138,0,09.06.2011,2011,Inland
300,Patna,Kaimur(Bhabua),"Ramgarh, Fishermen Cooperative Society",Ramgarh,1117,897,220,30.12.2011,2011,Inland
301,Patna,Kaimur(Bhabua),"Bhagwanpur, Fishermen Cooperative Society",Bhagwanpur,446,358,88,11.07.2011,2011,Inland
302,Patna,Kaimur(Bhabua),"Chand, Fishermen Cooperative Society",Chand,273,206,67,07.06.2011,2011,Inland
303,Patna,Kaimur(Bhabua),"Durgawati, Fishermen Cooperative Society",Durgawati,554,518,36,24.06.2011,2011,Inland
304,Patna,Kaimur(Bhabua),"Bhabhua , Fishermen Cooperative Society",Bhabhua ,282,207,75,03.06.2011,2011,Inland
305,Patna,Kaimur(Bhabua),"Adhuara , Fishermen Cooperative Society",Adhuara ,34,19,15,Not Available,2021,Inland
306,Patna,Kaimur(Bhabua),"Nuaon, Fishermen Cooperative Society",Nuaon,178,155,23,16.08.2011,2011,Inland
307,Patna,Kaimur(Bhabua),"Mohania, Fishermen Cooperative Society",Mohania,94,70,24,29.04.2011,2011,Inland
308,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Shahpur Bhojpur,Sahpur,508,441,67,19.02.2011,2011,Inland
309,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Jagdishpur Bhojpur,Jagdishpur,232,224,8,13.05.1905,1905,Inland
310,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Koilwar Bhojpur,Koilwar,55,15,40,12.07.1905,1905,Inland
311,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Barhra Bhojpur,Barahra,836,536,300,02.02.1962,1962,Inland
312,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Charpokhari Bhojpur,Charpokhari,90,85,5,28.08.1978,1978,Inland
313,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Tarari Bhojpur,Tarari,219,156,63,10.10.1983,1983,Inland
314,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Udwant Nagar Bhojpur,Udwantnagar,136,106,30,08.06.1905,1905,Inland
315,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Piro Bhojpur,Piro,243,203,40,Not Available,Not Available,Inland
316,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Piro Agiawon,Agiawon,52,47,5,06.08.2021,2021,Not Specified
317,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Piro Sahar,Sahar,0,0,0,13.10.1984,1984,Not Specified
318,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Garahani Bhojpur,Garahani,51,43,8,14.07.1905,1905,Inland
319,Patna,Bhojpur,Mtashy Jivi Sahyog Samiti Ltd Ara Bhojpur,Ara,900,795,105,05.06.1985,1985,Inland
320,Patna,Buxar,"Block Fisherman Cooperative Society , Itarhi",Itarhi,245,245,0,15.06.1956,1956,Inland
321,Patna,Buxar,"Block Fisherman Cooperative Society , Rajpur",Rajpur,115,112,3,19.02.2011,2011,Inland
322,Patna,Buxar,"Block Fisherman Cooperative Society , Buxar",Buxar,257,231,26,Not Available,1949,Inland
323,Patna,Buxar,"Block Fisherman Cooperative Society , Brahampur",Brahampur,451,350,101,28.04.1976,1976,Inland
324,Patna,Buxar,"Block Fisherman Cooperative Society , Simri",Simri,147,144,3,15.03.1973,1973,Inland
325,Patna,Buxar,"Block Fisherman Cooperative Society , Chausa",Chausa,55,48,7,Not Available,2020,Inland
326,Patna,Buxar,"Block Fisherman Cooperative Society , Nawanagar",Nawanagar,157,87,70,Not Available,2020,Inland
327,Patna,Buxar,"Block Fisherman Cooperative Society , Kesath",Kesath,24,7,17,Not Available,2021,Inland
328,Patna,Buxar,"Block Fisherman Cooperative Society , Dumraon",Dumraon,67,67,0,10.04.1953,1953,Inland
329,Patna,Nalanda,"Fisheries Cooperative Society, Griyak",Giryak,257,157,100,05.11.1979,1979,Inland
330,Patna,Nalanda,"Fisheries Cooperative Society, Sarmera",Sarmera,237,196,41,Not Available,Not Available,Inland
331,Patna,Nalanda,"Fisheries Cooperative Society, Islampur",Islampur,892,756,136,29.03.2011,2011,Inland
332,Patna,Nalanda,"Fisheries Cooperative Society, Rahui",Rahui,212,193,19,11.08.2006,2006,Inland
333,Patna,Nalanda,"Fisheries Cooperative Society, Tharthari",Tharthari,87,79,8,14.12.2010,2010,Inland
334,Patna,Nalanda,"Fisheries Cooperative Society, Ben",Ben,66,55,11,29.03.2011,2011,Inland
335,Patna,Nalanda,"Fisheries Cooperative Society, Rajgir",Rajgir,68,64,4,29.03.2011,2011,Inland
336,Patna,Nalanda,"Fisheries Cooperative Society, Silao",Silao,136,129,7,08.01.2021,2021,Inland
337,Patna,Nalanda,"Fisheries Cooperative Society, Noorsarai",Noorsarai,390,382,8,Not Available,2002,Inland
338,Patna,Nalanda,"Fisheries Cooperative Society, Nagarnausa",Nagarnausa,20,10,10,14.12.2010,2010,Inland
339,Patna,Nalanda,"Fisheries Cooperative Society, Hilsa",Hilsa,313,253,60,29.03.2011,2011,Inland
340,Patna,Nalanda,"Fisheries Cooperative Society, Ekangarsarai",Ekangarsarai,1188,977,211,14.12.2010,2010,Inland
341,Patna,Nalanda,"Fisheries Cooperative Society, Bind",Bind,321,268,53,14.12.2010,2010,Inland
342,Patna,Nalanda,"Fisheries Cooperative Society, Harnaut",Harnaut,107,92,15,22.01.2011,2011,Inland
343,Patna,Nalanda,"Fisheries Cooperative Society, Asthawan",Asthawan,161,147,14,29.03.2011,2011,Inland
344,Patna,Nalanda,"Fisheries Cooperative Society, Chandi",Chandi,245,168,77,04.12.2010,2010,Inland
345,Patna,Nalanda,"Fisheries Cooperative Society, Parwalpur",Parwalpur,118,79,39,27.03.2011,2011,Inland
346,Patna,Nalanda,"Fisheries Cooperative Society, Biharsharif",Biharsharif,128,122,6,14.12.2010,2010,Inland
347,Patna,Patna,Daniyawan Block Fisheries Cooperative Society,Daniyawan,598,406,192,Not Available,Not Available,Inland
348,Patna,Patna,Mokama BlockFisheries Cooperative Society,Mokama,411,276,135,Not Available,2011,Inland
349,Patna,Patna,Bakhtiyarpur Block Fisheries Cooperative Society,Bakhtiyarpur,313,297,16,Not Available,2010,Inland
350,Patna,Patna,Maner Block Fisheries Cooperative Society,Maner,478,280,198,Not Available,Not Available,Inland
351,Patna,Patna,Naubatpur Block Fisheries Cooperative Society,Naubatpur,271,120,151,Not Available,2021,Inland
352,Patna,Patna,Patna Sadar Block Fisheries Cooperative Society,Patna Sadar,1106,842,264,Not Available,2012,Inland
353,Patna,Patna,Pandarak Block Fisheries Cooperative Society,Pandarak,1120,776,344,Not Available,2011,Inland
354,Patna,Patna,Khushrupur Block Fisheries Cooperative Society,Khushrupur,191,168,23,Not Available,Not Available,Inland
355,Patna,Patna,Athmalgola Block Fisheries Cooperative Society,Athmalgola,237,205,32,Not Available,2010,Inland
356,Patna,Patna,Punpun Block Fisheries Cooperative Society,Punpun,28,28,0,Not Available,2010,Inland
357,Patna,Rohtas,"Akhorhi Gola, Fishermen Cooperative Society",Akhorhi Gola,171,152,19,09.03.2011,2011,Inland
358,Patna,Rohtas,"Bikramganj, Fishermen Cooperative Society",Bikramganj,194,184,10,09.03.2011,2011,Inland
359,Patna,Rohtas,"Chenari, Fishermen Cooperative Society",Chenari,303,299,4,09.03.2011,2011,Inland
360,Patna,Rohtas,"Dawath, Fishermen Cooperative Society",Dawath,77,77,-,Not Available,Not Available,Inland
361,Patna,Rohtas,"Dehri, Fishermen Cooperative Society",Dehri,146,112,34,09.03.2011,2011,Inland
362,Patna,Rohtas,"Dinara, Fishermen Cooperative Society",Dinara,215,195,20,09.03.2011,2011,Inland
363,Patna,Rohtas,"Karakat, Fishermen Cooperative Society",Karakat,126,60,66,09.03.2011,2011,Inland
364,Patna,Rohtas,"Kargahar, Fishermen Cooperative Society",Kargahar,736,694,42,09.03.2011,2011,Inland
365,Patna,Rohtas,"Kochas, Fishermen Cooperative Society",Kochas,287,257,30,09.03.2011,2011,Inland
366,Patna,Rohtas,"Nasriganj, Fishermen Cooperative Society",Nasriganj,187,174,13,Not Available,1983,Inland
367,Patna,Rohtas,"Nauhatta, Fishermen Cooperative Society",Nauhatta,224,215,9,09.03.2011,2011,Inland
368,Patna,Rohtas,"Nokha, Fishermen Cooperative Society",Nokha,624,537,87,09.03.2011,2011,Inland
369,Patna,Rohtas,"Rajpur, Fishermen Cooperative Society",Rajpur,34,29,5,09.03.2011,2011,Inland
370,Patna,Rohtas,"Rohtas, Fishermen Cooperative Society",Rohtas,227,184,43,09.03.2011,2011,Inland
371,Patna,Rohtas,"Sanjhauli, Fishermen Cooperative Society",Sanjhauli,56,56,-,Not Available,Not Available,Inland
372,Patna,Rohtas,"Sasaram, Fishermen Cooperative Society",Sasaram,1013,963,50,09.03.2011,2011,Inland
373,Patna,Rohtas,"Sheosagar, Fishermen Cooperative Society",Sheosagar,631,460,171,09.03.2011,2011,Inland
374,Patna,Rohtas,"Tilouthu, Fishermen Cooperative Society",Tilouthu,107,104,3,09.03.2011,2011,Inland
375,Magadh,Nawada,"Warisaliganj, Fishermen Cooperative Society",Warisaliganj,46,44,2,Not Available,2011,Inland
376,Magadh,Nawada,"Hisua, Fishermen Cooperative Society",Hisua,51,50,1,Not Available,2011,Inland
377,Magadh,Nawada,"Pakribarawan, Fishermen Cooperative Society",Pakribarawan,54,52,2,06.07.1993,1993,Inland
378,Magadh,Nawada,"Rajauli, Fishermen Cooperative Society",Rajauli,80,71,9,Not Available,2011,Inland
379,Magadh,Nawada,"Kawakole, Fishermen Cooperative Society",Kawakole,104,76,28,Not Available,1993,Inland
380,Magadh,Nawada,"Nardiganj, Fishermen Cooperative Society",Nardiganj,73,69,4,Not Available,2012,Inland
381,Magadh,Nawada,"Kashichak, Fishermen Cooperative Society",Kashichak,26,18,8,Not Available,2015,Inland
382,Magadh,Nawada,"Roh, Fishermen Cooperative Society",Roh,75,54,21,Not Available,2011,Inland
383,Magadh,Nawada,"Nawada, Fishermen Cooperative Society",Nawada,92,83,9,Not Available,Not Available,Inland
384,Magadh,Nawada,"Akbarpur, Fishermen Cooperative Society",Akbarpur,0,,,15.04.1993,1993,Inland
385,Magadh,Arwal,"Karpi, Block Level Fisheries Coo-Perative Society Ltd",Karpi,54,48,6,02.09.2020,2020,Inland
386,Magadh,Arwal,"Kurtha ,Block Level Fisheries Coo-Perative Society Ltd",Kurtha,37,29,8,25.01.2021,2021,Inland
387,Magadh,Arwal,"Kaler, Block Level Fisheries Coo-Perative Society Ltd",Kaler,43,37,6,26.04.2022,2022,Inland
388,Magadh,Arwal,"Sonbhdra Banshi Surypur, Block Level Fisheries Coo-Perative Society Ltd",Sonbhdra Banshi Surypur,32,25,7,19.07.2022,2022,Inland
389,Magadh,Arwal,"Arwal, Block Level Fisheries Coo-Perative Society Ltd",Arwal,363,336,27,01.11.1968,1968,Inland
390,Magadh,Jehanabad,Makhdumpur Matsayajivi Sahyog Samiti Limited,Makhdumpur,143,130,13,11.06.2011,2011,Inland
391,Magadh,Jehanabad,Modanganj Matsayajivi Sahyog Samiti Limited,Modanganj,72,60,12,28.04.2011,2011,Inland
392,Magadh,Jehanabad,Ghoshi Matsayajivi Sahyog Samiti Limited,Ghoshi,92,76,16,02.07.2014,2014,Inland
393,Magadh,Jehanabad,Jehanabad Matsayajivi Sahyog Samiti Limited,Jehanabad,263,251,12,26.02.1965,1965,Inland
394,Magadh,Jehanabad,Ratni Faridpur Prakhand Matsayjivi Sahyog Samiti Limited,Ratni Faridpur,53,41,12,21.02.2022,2022,Inland
395,Magadh,Jehanabad,Kako Prakhandstariya Matsayjivi Sahyog Samiti Limited,Kako,198,173,25,11.02.2011,2011,Inland
396,Magadh,Gaya,"Barachatti, Fisheries Cooperative Society",Barachatti,56,56,0,21.11.2011,2011,Inland
397,Magadh,Gaya,"Belaganj , Fisheries Cooperative Society",Belaganj,680,594,86,04.02.2011,2011,Inland
398,Magadh,Gaya,"Bodhgaya , Fisheries Cooperative Society",Bodhgaya,194,172,22,20.12.2010,2010,Inland
399,Magadh,Gaya,"Dobhi , Fisheries Cooperative Society",Dobhi,37,28,9,21.02.2011,2011,Inland
400,Magadh,Gaya,"Dumaria , Fisheries Cooperative Society",Dumaria,35,19,16,06.05.2022,2022,Inland
401,Magadh,Gaya,"Fatehpur , Fisheries Cooperative Society",Fatehpur,41,41,0,Not Available,2021,Inland
402,Magadh,Gaya,"Guraru , Fisheries Cooperative Society",Guraru,180,152,28,07.08.2021,2021,Inland
403,Magadh,Gaya,"Gurua , Fisheries Cooperative Society",Gurua,93,81,12,21.02.2011,2011,Inland
404,Magadh,Gaya,"Imamganj , Fisheries Cooperative Society",Imamganj,35,20,15,28.02.2023,2023,Inland
405,Magadh,Gaya,"Khizarsarai, Fisheries Cooperative Society",Khizarsarai,35,24,11,06.11.2020,2020,Inland
406,Magadh,Gaya,"Konch , Fisheries Cooperative Society",Konch,201,142,59,20.12.2010,2010,Inland
407,Magadh,Gaya,"Manpur , Fisheries Cooperative Society",Manpur,1105,851,254,21.02.2011,2011,Inland
408,Magadh,Gaya,"Mohanpur , Fisheries Cooperative Society",Mohanpur,35,35,0,05.09.2023,2023,Inland
409,Magadh,Gaya,"Mohra, Fisheries Cooperative Society",Mohra,35,27,8,20.07.2021,2021,Inland
410,Magadh,Gaya,"Nagar , Fisheries Cooperative Society",Nagar,1175,842,333,21.12.2010,2010,Inland
411,Magadh,Gaya,"Nimachak Bathani , Fisheries Cooperative Society",Nimachak Bathani,183,116,67,20.12.2010,2010,Inland
412,Magadh,Gaya,"Paraiya , Fisheries Cooperative Society",Paraiya,36,33,3,06.11.2020,2020,Inland
413,Magadh,Gaya,"Sherghati , Fisheries Cooperative Society",Sherghati,,,,21.02.2011,2011,Inland
414,Magadh,Gaya,"Tankuppa , Fisheries Cooperative Society",Tankuppa,35,27,8,18.07.2022,2022,Inland
415,Magadh,Gaya,"Tekari , Fisheries Cooperative Society",Tekari,1167,874,293,20.12.2010,2010,Inland
416,Magadh,Gaya,"Aamas, Fisheries Cooperative Society",Aamas,-,-,-,05.09.2023,2023,Inland
417,Magadh,Gaya,"Bankebazzar, Fisheries Cooperative Society",Bankebazzar,-,-,-,16.08.2024,2024,Inland
418,Magadh,Gaya,"Wazirganj, Fisheries Cooperative Society",Wazirganj,44,39,5,21.02.2011,2011,Inland
419,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Aurangabad",Aurangabad,322,268,54,14.03.2022,2022,Inland
420,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Barun",Barun,1071,836,235,21.11.1958,1958,Inland
421,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Deo",Deo,28,24,4,19.07.2022,2022,Inland
422,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Kutumba",Kutumba,20,19,1,30.09.2019,2019,Inland
423,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Madanpur",Madanpur,330,265,65,31.05.1980,1980,Inland
424,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Nabinagar",Nabinagar,356,270,86,10.06.2019,2019,Inland
425,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Obra",Obra,371,296,75,19.06.2022,2022,Inland
426,Magadh,Aurangabad,"Matsyajivi Sahyog Samiti, Rafiganj",Rafiganj,531,414,117,19.07.2023,2023,Inland
427,Purnia,Kishanganj,Bhadurganj Block Fcs Ltd.,Bahadurganj,336,274,62,11.04.2011,2011,Inland
428,Purnia,Kishanganj,Dighalbank Block Fcs Ltd.,Dighalbank,190,164,26,11.04.2011,2011,Inland
429,Purnia,Kishanganj,Kishanganj Block Fcs Ltd.,Kishanganj,431,378,53,11.04.2011,2011,Inland
430,Purnia,Kishanganj,Kochadhaman Block Fcs Ltd.,Kochadhamin,1468,1134,334,11.04.2011,2011,Inland
431,Purnia,Kishanganj,Pothia Block Fcs Ltd.,Pothia,157,153,4,23.03.1956,1956,Inland
432,Purnia,Kishanganj,Terhagachh Block Fcs Ltd.,Terhagachh,519,387,132,11.04.2011,2011,Inland
433,Purnia,Kishanganj,Thakurganj Block Fcs Ltd.,Thakurganj,350,265,85,02.03.1960,1960,Inland
434,Purnia,Katihar,"Amdabad, Fishermen Cooperative Society",Amdabad,1602,1122,480,Not Available,2010,Inland
435,Purnia,Katihar,"Azamnagar, Fishermen Cooperative Society",Azamnagar,1029,229,800,Not Available,2010,Inland
436,Purnia,Katihar,"Balrampur, Fishermen Cooperative Society",Balrampur,1399,980,419,Not Available,2011,Inland
437,Purnia,Katihar,"Barari, Fishermen Cooperative Society",Barari,6253,4375,1878,Not Available,2011,Inland
438,Purnia,Katihar,"Barsoi, Fishermen Cooperative Society",Barsoi,550,510,40,Not Available,2012,Inland
439,Purnia,Katihar,"Dandkhora, Fishermen Cooperative Society",Dandkhora,1383,1008,375,Not Available,2011,Inland
440,Purnia,Katihar,"Falka, Fishermen Cooperative Society",Falka,627,600,27,Not Available,2012,Inland
441,Purnia,Katihar,"Hasanganj, Fishermen Cooperative Society",Hasanganj,603,413,190,Not Available,2011,Inland
442,Purnia,Katihar,"Kadwa, Fishermen Cooperative Society",Kadwa,3247,2797,450,Not Available,2011,Inland
443,Purnia,Katihar,"Katihar, Fishermen Cooperative Society",Katihar,255,179,76,Not Available,2010,Inland
444,Purnia,Katihar,"Korha, Fishermen Cooperative Society",Korha,1965,1376,589,Not Available,2011,Inland
445,Purnia,Katihar,"Kursela, Fishermen Cooperative Society",Kursela,2812,1612,1200,Not Available,2009,Inland
446,Purnia,Katihar,"Manihari, Fishermen Cooperative Society",Manihari,2511,2195,316,Not Available,2011,Inland
447,Purnia,Katihar,"Mansahi, Fishermen Cooperative Society",Mansahi,1403,983,420,Not Available,2010,Inland
448,Purnia,Katihar,"Pranpur, Fishermen Cooperative Society",Pranpur,2167,1953,214,Not Available,2011,Inland
449,Purnia,Katihar,"Sameli, Fishermen Cooperative Society",Sameli,729,511,218,Not Available,2012,Inland
450,Purnia,Araria,Araria Block Fcs Ltd,Araria,588,521,67,19.05.1959,1959,Inland
451,Purnia,Araria,Forbesganj Block Fcs Ltd,Forbesganj,519,454,65,10.06.2011,2011,Inland
452,Purnia,Araria,Jokihat Block Fcs Ltd,Jokihat,997,900,97,01.06.1976,1976,Inland
453,Purnia,Araria,Kursakanta Block Fcs Ltd,Kursakatta,249,200,49,20.04.1965,1965,Inland
454,Purnia,Araria,Narpatganj Block Fcs Ltd,Narpatganj,439,343,96,07.04.1974,1974,Inland
455,Purnia,Araria,Palasi Block Fcs Ltd,Palasi,779,636,143,10.06.2011,2011,Inland
456,Purnia,Araria,Raniganj Block Fcs Ltd,Raniganj,561,505,56,15.01.1964,1964,Inland
457,Purnia,Araria,Sikti Block Fcs Ltd,Sikti,337,286,51,23.05.1972,1972,Inland
458,Purnia,Purnia,Purnea East Block Fisheries Cooperative Society Ltd.,Purnea East,2549,1641,908,16.05.2011,2011,Inland
459,Purnia,Purnia,Kasba Block Fisheries Cooperative Society Ltd.,Kasba,1014,716,298,16.05.2011,2011,Inland
460,Purnia,Purnia,K. Nagar Block Fisheries Cooperative Society Ltd.,K. Nagar,1353,927,426,16.05.2011,2011,Inland
461,Purnia,Purnia,Jalalgadh Block Fisheries Cooperative Society Ltd.,Jalalgadh,681,476,205,16.05.2011,2011,Inland
462,Purnia,Purnia,Banmankhi Block Fisheries Cooperative Society Ltd.,Banmankhi,2331,1462,869,16.05.2011,2011,Inland
463,Purnia,Purnia,Baisi Block Fisheries Cooperative Society Ltd.,Baisi,861,605,256,08.05.1956,1956,Inland
464,Purnia,Purnia,Amour Block Fisheries Cooperative Society Ltd.,Amour,1509,1016,493,16.05.2011,2011,Inland
465,Purnia,Purnia,Baisa Block Fisheries Cooperative Society Ltd.,Baisa,522,349,173,16.05.2011,2011,Inland
466,Purnia,Purnia,Dagarua Block Fisheries Cooperative Society Ltd.,Dagarua,2069,1451,618,16.05.2011,2011,Inland
467,Purnia,Purnia,Dhamdaha Block Fisheries Cooperative Society Ltd.,Dhamdaha,587,454,133,16.05.2011,2011,Inland
468,Purnia,Purnia,Bhawanipur Block Fisheries Cooperative Society Ltd.,Bhawanipur,696,488,208,16.05.2011,2011,Inland
469,Purnia,Purnia,B. Khothi Block Fisheries Cooperative Society Ltd.,Barhara,457,302,155,16.03.1983,1983,Inland
470,Purnia,Purnia,Rupoli Block Fisheries Cooperative Society Ltd.,Rupoli,2541,1852,689,16.05.2011,2011,Inland
471,Bhagalpur,Bhagalpur,"Barari Matsya Jivi Sahyog Smiti, Jagdishpur",Jagdishpur,1576,1252,324,17.12.2005,2005,Inland
472,Bhagalpur,Bhagalpur,"Nathnagar Prakhand Matsya Jivi Sahyog Smiti, Nathnagar",Nathnagar,246,201,45,14.03.2011,2011,Inland
473,Bhagalpur,Bhagalpur,"Sabour Prakhand Matsya Jivi Sahyog Smiti, Sabour",Sabaor,671,486,185,14.03.2011,2011,Inland
474,Bhagalpur,Bhagalpur,"Goradih Prakhand Matsya Jivi Sahyog Smiti, Goradih",Goradih,243,221,22,14.03.2011,2011,Inland
475,Bhagalpur,Bhagalpur,"Sultanganj Prakhand Matsya Jivi Sahyog Smiti, Sultanganj",Sultanganj,677,526,151,14.03.2011,2011,Inland
476,Bhagalpur,Bhagalpur,"Shahkund Prakhand Matsya Jivi Sahyog Smiti, Shahkund",Shahkund,583,480,103,14.03.2011,2011,Inland
477,Bhagalpur,Bhagalpur,"Sanhoula Prakhand Matsya Jivi Sahyog Smiti, Sanhoula",Sanhaula,1515,1296,219,14.03.2011,2011,Inland
478,Bhagalpur,Bhagalpur,"Kahalgaon Prakhand Matsya Jivi Sahyog Smiti, Khalgaon",Kahalgaon,1797,1355,442,07.12.2013,2013,Inland
479,Bhagalpur,Bhagalpur,"Pirpaiti Prakhand Matsya Jivi Sahyog Smiti, Pirpaiti",Pirpaiti,2137,1687,450,14.03.2011,2011,Inland
480,Bhagalpur,Bhagalpur,"Naugachiya Prakhand Matsya Jivi Sahyog Smiti, Naugachiya",Naugachiya,1249,999,250,14.03.2011,2011,Inland
481,Bhagalpur,Bhagalpur,"Rangra Ckowk Prakhand Matsya Jivi Sahyog Smiti, Rangra Chowk",Rangra Chowk,2037,1826,211,28.03.2012,2012,Inland
482,Bhagalpur,Bhagalpur,"Gopalpur Prakhand Matsya Jivi Sahyog Smiti, Gopalpur",Gopalpur,1390,1318,72,28.03.2012,2012,Inland
483,Bhagalpur,Bhagalpur,"Ismilepur Prakhand Matsya Jivi Sahyog Smiti, Ismilepur",Ismilepur,107,67,40,28.03.2012,2012,Inland
484,Bhagalpur,Bhagalpur,"Kharik Prakhand Matsya Jivi Sahyog Smiti, Kharik",Kharik,1406,1201,205,14.03.2012,2012,Inland
485,Bhagalpur,Bhagalpur,"Bihpur Prakhand Matsya Jivi Sahyog Smiti, Bihpur",Bihpur,3542,3000,542,07.12.2010,2010,Inland
486,Bhagalpur,Bhagalpur,"Narayanpur Prakhand Matsya Jivi Sahyog Smiti, Narayanpur",Narayanpur,1486,930,556,14.03.2011,2011,Inland
487,Bhagalpur,Banka,Fullidumar Prakhand Matasyjivi Sahyog Samiti Limited,Fullidumar,800,516,284,01.01.2018,2018,Inland
488,Bhagalpur,Banka,Rajoun Prakhand Matasyajivi Sahyog Samiti Limited,Rajaun,1285,986,299,01.01.2011,2011,Inland
